datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,AVERAGE of Wind_MWh
2022-08-20,77.0,62.1,68.7,77.0,62.1,68.7,61.4,79.5,0.038,100,20.83,rain,0.0,0.0,20.1,10.9,349.9,1019.6,88.7,14.2,232.4,20.3,7.0,,2022-08-20T06:50:32,2022-08-20T20:46:08,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1536.791667
2022-08-21,76.2,52.9,65.6,76.2,52.9,65.6,55.1,72.2,0.006,100,8.33,rain,0.0,0.0,14.6,7.4,349.7,1017.6,81.0,12.8,240.6,20.9,7.0,,2022-08-21T06:51:47,2022-08-21T20:44:23,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1063.541667
2022-08-22,76.8,61.8,68.5,76.8,61.8,68.5,59.2,72.9,0.001,100,4.17,rain,0.0,0.0,14.4,6.9,326.7,1015.9,97.2,15.0,137.2,11.9,5.0,,2022-08-22T06:53:03,2022-08-22T20:42:38,0.84,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1513.75
2022-08-23,81.9,63.6,72.2,82.8,63.6,72.3,62.4,74.0,0.0,0,0.0,,0.0,0.0,16.6,7.3,0.4,1016.3,72.2,14.5,217.9,18.7,6.0,,2022-08-23T06:54:18,2022-08-23T20:40:51,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",838.3333333
2022-08-24,88.3,58.3,72.0,85.5,58.3,71.4,57.0,66.1,0.006,100,8.33,rain,0.0,0.0,18.9,8.6,42.5,1015.5,54.0,11.9,273.0,23.6,8.0,,2022-08-24T06:55:33,2022-08-24T20:39:04,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",982.9166667
2022-08-25,88.4,56.5,73.1,86.7,56.5,72.7,56.9,61.3,0.0,0,0.0,,0.0,0.0,22.5,10.9,294.0,1014.1,81.5,11.9,228.5,19.9,7.0,,2022-08-25T06:56:49,2022-08-25T20:37:16,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2809.625
2022-08-26,78.7,65.4,70.9,78.7,65.4,70.9,62.9,76.8,0.002,100,8.33,rain,0.0,0.0,20.1,10.4,337.5,1016.3,91.8,12.4,180.6,15.5,6.0,,2022-08-26T06:58:04,2022-08-26T20:35:27,0.97,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2784.25
2022-08-27,77.3,57.1,67.3,77.3,57.1,67.3,57.8,74.1,0.0,0,0.0,,0.0,0.0,14.0,6.6,8.2,1014.8,86.5,11.6,186.6,16.1,6.0,,2022-08-27T06:59:19,2022-08-27T20:33:37,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2359.416667
2022-08-28,83.3,54.7,68.5,83.0,54.7,68.5,56.7,68.9,0.0,0,0.0,,0.0,0.0,15.9,6.7,3.7,1015.0,47.1,12.2,206.8,17.9,7.0,,2022-08-28T07:00:35,2022-08-28T20:31:47,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",3625.708333
2022-08-29,88.8,57.2,72.1,86.6,57.2,71.7,57.6,66.1,0.001,100,4.17,rain,0.0,0.0,13.0,4.8,140.5,1015.4,65.2,11.7,235.9,20.2,8.0,,2022-08-29T07:01:50,2022-08-29T20:29:56,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",3884.833333
2022-08-30,70.0,62.1,65.7,70.0,62.1,65.7,61.5,86.5,0.284,100,45.83,rain,0.0,0.0,15.6,9.3,299.1,1017.6,96.4,10.8,145.7,12.6,5.0,,2022-08-30T07:03:05,2022-08-30T20:28:04,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2536.708333
2022-08-31,79.7,58.4,67.8,79.7,58.4,67.8,59.8,78.3,0.0,0,0.0,,0.0,0.0,17.8,7.6,333.2,1018.1,69.6,8.0,209.6,18.0,7.0,,2022-08-31T07:04:20,2022-08-31T20:26:12,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2414.25
2022-09-01,81.6,56.3,68.4,80.8,56.3,68.3,56.6,70.7,0.001,100,4.17,rain,0.0,0.0,16.6,5.9,8.4,1015.0,50.8,11.1,241.0,20.8,8.0,,2022-09-01T07:05:36,2022-09-01T20:24:19,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2188.708333
2022-09-02,75.8,57.2,65.0,75.8,57.2,65.0,58.6,80.9,0.098,100,25.0,rain,0.0,0.0,18.2,7.5,224.7,1012.7,86.9,11.7,158.3,13.7,6.0,,2022-09-02T07:06:51,2022-09-02T20:22:25,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,LFLV,07477099999,LFLN",1526.541667
2022-09-03,79.0,59.2,67.9,79.0,59.2,67.9,58.7,76.0,0.062,100,12.5,rain,0.0,0.0,18.1,8.8,249.3,1013.0,81.1,11.8,186.8,16.2,6.0,,2022-09-03T07:08:06,2022-09-03T20:20:31,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1742.541667
2022-09-04,85.7,54.7,69.8,84.6,54.7,69.6,57.1,69.0,0.001,100,4.17,rain,0.0,0.0,16.6,8.0,107.5,1016.5,41.0,12.4,238.6,20.7,8.0,,2022-09-04T07:09:21,2022-09-04T20:18:37,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2244.541667
2022-09-05,88.9,61.1,74.4,88.5,61.1,74.3,59.9,63.8,0.002,100,8.33,rain,0.0,0.0,29.6,14.7,169.5,1017.0,50.8,13.3,225.4,19.4,7.0,,2022-09-05T07:10:36,2022-09-05T20:16:42,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",3404.958333
2022-09-06,80.5,63.1,70.5,82.0,63.1,70.6,62.2,76.3,0.021,100,25.0,rain,0.0,0.0,19.0,11.1,180.3,1016.0,85.9,12.6,178.0,15.4,6.0,,2022-09-06T07:11:52,2022-09-06T20:14:47,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2888.25
2022-09-07,73.6,60.3,66.4,73.6,60.3,66.4,61.1,84.1,0.078,100,25.0,rain,0.0,0.0,19.0,9.1,11.4,1014.2,87.7,12.0,137.4,11.8,5.0,,2022-09-07T07:13:07,2022-09-07T20:12:51,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",3236.083333
2022-09-08,74.1,55.0,64.9,74.1,55.0,64.9,54.3,71.8,0.134,100,20.83,rain,0.0,0.0,23.2,9.3,215.0,1014.1,82.7,13.2,177.8,15.3,6.0,,2022-09-08T07:14:22,2022-09-08T20:10:55,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",5813.541667
2022-09-09,73.4,54.7,62.7,73.4,54.7,62.7,53.5,73.3,0.006,100,12.5,rain,0.0,0.0,25.3,12.8,230.9,1016.4,81.9,12.5,172.7,14.9,6.0,,2022-09-09T07:15:37,2022-09-09T20:08:58,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",8402.125
2022-09-10,72.4,54.5,62.5,72.4,54.5,62.5,52.7,72.9,0.001,100,4.17,rain,0.0,0.0,19.7,7.7,270.0,1019.2,85.8,13.2,141.8,12.2,5.0,,2022-09-10T07:16:52,2022-09-10T20:07:01,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",3688.75
2022-09-11,77.0,47.1,61.5,77.0,47.1,61.5,51.0,72.7,0.0,0,0.0,,0.0,0.0,16.4,7.1,70.9,1018.5,42.0,12.1,194.4,16.9,6.0,,2022-09-11T07:18:08,2022-09-11T20:05:04,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",943.8333333
2022-09-12,89.9,50.7,68.6,87.9,50.7,68.1,54.3,66.5,0.0,0,0.0,,0.0,0.0,12.9,6.2,118.7,1012.7,17.4,11.9,230.3,19.9,7.0,,2022-09-12T07:19:23,2022-09-12T20:03:07,0.56,Clear,Clear conditions throughout the day.,clear-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2229.125
2022-09-13,88.6,61.9,72.8,89.9,61.9,73.1,61.8,70.5,0.0,0,0.0,,0.0,0.0,19.8,10.7,178.0,1008.6,93.7,12.4,172.7,14.9,7.0,,2022-09-13T07:20:38,2022-09-13T20:01:09,0.6,Overcast,Cloudy skies throughout the day.,cloudy,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2711.625
2022-09-14,81.7,62.8,70.4,82.5,62.8,70.4,62.8,79.2,0.091,100,20.83,rain,0.0,0.0,25.3,9.7,178.4,1007.5,90.9,12.0,144.5,12.5,5.0,,2022-09-14T07:21:53,2022-09-14T19:59:11,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,LFLV,07477099999,LFLN",2383.083333
2022-09-15,74.0,60.6,66.5,74.0,60.6,66.5,60.8,83.4,0.072,100,29.17,rain,0.0,0.0,20.6,10.0,254.7,1010.9,96.4,12.6,127.1,10.9,5.0,,2022-09-15T07:23:09,2022-09-15T19:57:13,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1573.5
2022-09-16,65.9,56.2,60.7,65.9,56.2,60.7,54.2,80.8,0.003,100,8.33,rain,0.0,0.0,23.0,10.1,327.6,1014.2,94.0,11.1,111.4,9.8,4.0,,2022-09-16T07:24:24,2022-09-16T19:55:15,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",3535.333333
2022-09-17,61.1,43.0,52.9,61.1,43.0,52.5,43.5,72.9,0.016,100,4.17,rain,0.0,0.0,20.5,10.0,350.7,1020.1,61.3,13.2,175.5,15.0,6.0,,2022-09-17T07:25:40,2022-09-17T19:53:17,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",4744.041667
2022-09-18,65.3,34.2,49.3,65.3,34.2,49.3,38.7,72.1,0.0,0,0.0,,0.0,0.0,15.0,7.0,354.8,1021.7,7.6,14.2,221.0,19.1,7.0,,2022-09-18T07:26:56,2022-09-18T19:51:19,0.76,Clear,Clear conditions throughout the day.,clear-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",3777.75
2022-09-19,66.0,37.9,51.2,66.0,37.9,51.1,41.0,72.2,0.0,0,0.0,,0.0,0.0,23.9,10.4,6.2,1021.6,22.7,14.5,204.7,17.5,7.0,,2022-09-19T07:28:11,2022-09-19T19:49:20,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2662.958333
2022-09-20,67.1,35.7,51.5,67.1,35.7,51.4,40.6,70.9,0.0,0,0.0,,0.0,0.0,22.3,11.2,16.9,1023.1,15.7,13.7,215.4,18.4,7.0,,2022-09-20T07:29:27,2022-09-20T19:47:22,0.82,Clear,Clear conditions throughout the day.,clear-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2109.833333
2022-09-21,67.5,37.7,52.1,67.5,37.7,52.1,40.7,70.0,0.0,0,0.0,,0.0,0.0,21.6,10.4,20.8,1022.8,20.3,14.4,212.4,18.4,7.0,,2022-09-21T07:30:43,2022-09-21T19:45:24,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"07460099999,07379099999,LFLC,07374099999,LFLV,07477099999,LFLN",2320.333333
2022-09-22,70.5,34.5,51.9,70.5,34.5,51.9,40.2,69.2,0.0,0,0.0,,0.0,0.0,15.1,5.8,25.0,1020.6,5.8,13.5,213.6,18.5,7.0,,2022-09-22T07:31:59,2022-09-22T19:43:25,0.89,Clear,Clear conditions throughout the day.,clear-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",964.125
2022-09-23,73.8,42.0,57.2,73.8,41.1,56.9,46.7,71.1,0.0,0,0.0,,0.0,0.0,14.5,7.0,199.7,1016.9,84.6,13.3,129.6,11.0,5.0,,2022-09-23T07:33:15,2022-09-23T19:41:27,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",673.5416667
2022-09-24,69.4,52.8,60.4,69.4,52.8,60.4,52.6,77.8,0.548,100,29.17,rain,0.0,0.0,14.7,8.5,197.9,1013.4,95.1,11.1,149.5,12.9,6.0,,2022-09-24T07:34:32,2022-09-24T19:39:29,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1750.083333
2022-09-25,60.3,53.5,55.8,60.3,53.5,55.8,53.0,90.6,0.294,100,70.83,rain,0.0,0.0,14.9,6.2,317.3,1014.5,98.3,10.0,95.1,8.2,4.0,,2022-09-25T07:35:48,2022-09-25T19:37:31,0.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2339.375
2022-09-26,61.8,45.6,54.5,61.8,45.6,54.4,47.4,79.4,0.056,100,8.33,rain,0.0,0.0,24.4,10.7,223.1,1011.5,95.4,8.5,85.9,7.6,3.0,,2022-09-26T07:37:05,2022-09-26T19:35:33,0.02,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",7465.333333
2022-09-27,58.1,50.3,54.4,58.1,50.3,54.4,47.5,78.4,0.121,100,29.17,rain,0.0,0.0,24.1,10.8,251.9,1008.6,97.3,11.8,100.2,8.8,5.0,,2022-09-27T07:38:22,2022-09-27T19:33:35,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",7937.625
2022-09-28,61.5,53.1,57.2,61.5,53.1,57.2,53.4,87.2,0.554,100,75.0,rain,0.0,0.0,29.3,10.8,244.2,1002.4,98.0,11.0,50.8,4.4,3.0,,2022-09-28T07:39:39,2022-09-28T19:31:38,0.09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",4160.583333
2022-09-29,58.6,46.0,52.5,58.6,46.0,52.4,47.7,84.5,0.305,100,33.33,rain,0.0,0.0,13.7,7.1,303.9,1003.5,96.3,12.4,133.0,11.6,5.0,,2022-09-29T07:40:56,2022-09-29T19:29:41,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1316.5
2022-09-30,60.2,41.9,49.1,60.2,41.9,48.7,44.3,85.3,0.032,100,12.5,rain,0.0,0.0,15.0,6.3,342.3,1012.7,82.4,10.1,92.2,7.9,4.0,,2022-09-30T07:42:13,2022-09-30T19:27:44,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",3691.916667
2022-10-01,69.1,45.7,57.0,69.1,42.6,55.6,51.6,82.7,0.049,100,29.17,rain,0.0,0.0,27.2,12.6,199.4,1018.5,97.4,12.8,39.4,3.3,2.0,,2022-10-01T07:43:31,2022-10-01T19:25:47,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",10981.08333
2022-10-02,71.5,57.7,63.9,71.5,57.7,63.9,55.7,76.3,0.015,100,8.33,rain,0.0,0.0,25.3,10.1,238.1,1024.3,89.1,13.3,124.4,10.9,5.0,,2022-10-02T07:44:49,2022-10-02T19:23:51,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",4940.25
2022-10-03,64.5,51.1,59.0,64.5,51.1,59.0,54.5,85.8,0.007,100,4.17,rain,0.0,0.0,15.2,8.5,23.5,1024.9,92.0,12.8,78.7,6.7,3.0,,2022-10-03T07:46:07,2022-10-03T19:21:55,0.25,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1041.583333
2022-10-04,70.2,44.3,54.5,70.2,44.0,54.3,50.0,86.7,0.003,100,12.5,rain,0.0,0.0,12.5,6.3,132.0,1022.3,59.9,7.5,176.9,15.1,6.0,,2022-10-04T07:47:26,2022-10-04T19:20:00,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1178.916667
2022-10-05,80.5,47.3,60.3,80.4,44.8,59.9,50.5,75.6,0.003,100,12.5,rain,0.0,0.0,18.4,10.7,177.0,1022.6,42.7,10.7,177.3,15.4,6.0,,2022-10-05T07:48:44,2022-10-05T19:18:05,0.34,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",7079.75
2022-10-06,64.0,54.0,58.5,64.0,54.0,58.5,54.8,87.9,0.007,100,4.17,rain,0.0,0.0,13.0,6.3,358.2,1029.6,90.1,11.9,36.3,3.0,1.0,,2022-10-06T07:50:03,2022-10-06T19:16:10,0.38,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1527.5
2022-10-07,73.7,48.1,60.1,73.7,48.1,60.1,54.1,82.7,0.002,100,4.17,rain,0.0,0.0,13.9,5.7,135.1,1024.0,87.2,9.2,126.5,10.9,5.0,,2022-10-07T07:51:22,2022-10-07T19:14:16,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1281.083333
2022-10-08,63.9,47.0,56.9,63.9,47.0,56.9,51.3,83.2,0.034,100,8.33,rain,0.0,0.0,16.9,8.6,355.0,1022.7,83.5,10.4,107.6,9.4,5.0,,2022-10-08T07:52:42,2022-10-08T19:12:23,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1778.416667
2022-10-09,69.4,38.1,52.3,69.4,38.1,52.3,46.5,83.4,0.0,0,0.0,,0.0,0.0,13.2,6.3,93.1,1019.4,38.4,9.2,169.1,14.5,6.0,,2022-10-09T07:54:01,2022-10-09T19:10:30,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",3514.25
2022-10-10,74.5,49.0,60.0,74.5,48.1,59.7,52.3,78.1,0.003,100,12.5,rain,0.0,0.0,13.2,7.7,138.2,1017.9,53.4,10.9,135.5,11.7,5.0,,2022-10-10T07:55:21,2022-10-10T19:08:38,0.52,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain clearing later.,rain,"07460099999,07379099999,LFLC,07374099999,LFLV,07477099999,LFLN",2763.041667
2022-10-11,65.1,52.9,59.1,65.1,52.9,59.1,56.4,91.0,0.025,100,29.17,rain,0.0,0.0,10.3,6.6,348.7,1022.1,96.3,7.9,64.2,5.4,2.0,,2022-10-11T07:56:42,2022-10-11T19:06:46,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,LFLV,07477099999,LFLN",1882.208333
2022-10-12,69.6,53.6,60.0,69.6,53.6,60.0,56.6,89.4,0.003,100,12.5,rain,0.0,0.0,9.4,4.5,8.5,1022.3,87.1,6.0,123.1,10.6,5.0,,2022-10-12T07:58:02,2022-10-12T19:04:55,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",582.0416667
2022-10-13,64.8,52.0,58.1,64.8,52.0,58.1,54.8,89.6,0.023,100,25.0,rain,0.0,0.0,12.6,5.2,182.5,1021.6,98.4,8.0,55.9,4.9,3.0,,2022-10-13T07:59:23,2022-10-13T19:03:05,0.61,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2885.833333
2022-10-14,65.8,57.1,61.1,65.8,57.1,61.1,57.1,87.1,0.099,100,25.0,rain,0.0,0.0,21.2,8.4,179.7,1017.3,97.9,12.8,37.3,3.1,2.0,,2022-10-14T08:00:44,2022-10-14T19:01:15,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07460099999,LFLC,07379099999,07374099999,07477099999,LFLN",5165.125
2022-10-15,71.4,58.6,63.7,71.4,58.6,63.7,55.1,74.4,0.0,0,0.0,,0.0,0.0,20.8,9.2,186.5,1014.1,95.0,15.6,101.6,8.8,4.0,,2022-10-15T08:02:06,2022-10-15T18:59:26,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",6926.708333
2022-10-16,80.3,57.7,67.1,81.0,57.7,67.1,56.7,71.3,0.0,0,0.0,,0.0,0.0,28.3,15.0,173.2,1015.2,75.7,13.2,143.4,12.2,5.0,,2022-10-16T08:03:28,2022-10-16T18:57:39,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",4065.583333
2022-10-17,76.2,62.3,68.7,76.2,62.3,68.7,55.8,64.1,0.0,0,0.0,,0.0,0.0,33.3,22.4,171.8,1021.7,86.5,11.9,107.4,9.4,4.0,,2022-10-17T08:04:50,2022-10-17T18:55:52,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07460099999,LFLC,07379099999,07374099999,07477099999,LFLN",4938.208333
